session_id,mac_hash,gw_id,ts_begin,ts_end,incoming,outgoing,latitude_begin,longitude_begin,latitude_end,longitude_end,duration
27ed8a09f5d5de01acc374c145780680ac433cdf,db5ce00f98b198a76ef219429aca4594ddf9845d,2079,2017-09-01T06:34:00.000Z,2017-09-01T06:44:04.000Z,0,0,1.2949,103.78457,1.293317,103.77264,210
2eb3002d5bd5225ccede31d9296de47b3717da35,ee1476e89b1b18058c737f1411374a947e33c0e6,2079,2017-09-01T06:33:40.000Z,2017-09-01T06:43:41.000Z,0,0,1.295833,103.78394,1.292567,103.77367,230
592abe7758b07a941f49ac2f379c934f8980c98f,f60c1b31d61e4203c49c015856be0034f672d919,2129,2017-09-01T06:33:38.000Z,2017-09-01T06:52:42.000Z,0,0,1.293483,103.7773,1.291983,103.78052,638
72901f986341ec128a04bfa04c41cdabbb67e481,373e32ac8befb10ee07fba56b511d01b90acf658,2129,2017-09-01T06:34:22.000Z,2017-09-01T06:52:36.000Z,0,0,1.29315,103.77513,1.291983,103.78052,581
a969521c9abf6a35d62af1deef11ea12e720a87d,5ef777c53d61392a695aae619c12c0ccabe8119b,2079,2017-09-01T06:34:28.000Z,2017-09-01T06:44:30.000Z,0,0,1.294883,103.78458,1.294083,103.77243,183
4c39bc73364659a8e2049399d47d1433da5a3e69,43407bf8e898f1cd364e529f15926a029db9c771,2034,2017-09-01T06:34:25.000Z,2017-09-01T06:54:26.000Z,0,0,1.294933,103.78439,1.291817,103.7805,842
d477ab164e0e412291bcc8c894200f61bce24027,60b4f4498ece534ce2881e063c859d257ce62009,2079,2017-09-01T06:35:00.000Z,2017-09-01T06:45:02.000Z,0,0,1.294633,103.78471,1.294933,103.77337,134
a9b4cced7bed4c0a4d71d6c71eb6a41c47920d3b,513560ee94ba8784d9dfa20c5e6366256e7199b7,2129,2017-09-01T06:34:29.000Z,2017-09-01T06:44:29.000Z,0,0,1.292933,103.77503,1.299333,103.77477,53
65e51e5609f183e33c34b384171ace69c67593a7,026df6112842047bfb4516159798f738773e6f96,2079,2017-09-01T06:34:07.000Z,2017-09-01T06:46:19.000Z,0,0,1.2949,103.78458,1.293867,103.77227,336
14257484dbd33bde55db8db79e2ab847cfaa0e49,4b14c9674816ad0e1f3d8e8521e37b4c7c5df1bf,2129,2017-09-01T06:36:19.000Z,2017-09-01T06:46:20.000Z,0,0,1.29335,103.7724,1.2971,103.77955,19
4a06080b9f2efd6c61c7d52a21e8eec1794e073b,5511e4b7abcd5e81328403586791d509ce3b6bb4,2129,2017-09-01T06:36:08.000Z,2017-09-01T06:51:12.000Z,0,0,1.293317,103.77255,1.290983,103.78115,313
4db599c34294f2520b0bc4fcfc54268fbdd9cee0,8f8a63983a038c1e1f8b9dfd24e045a7e111bc84,2079,2017-09-01T06:36:34.000Z,2017-09-01T06:46:36.000Z,0,0,1.291617,103.78249,1.2934,103.77198,16
23ed852152c58446d0d17284e6d38be3f34f862c,a805cf8468a4e72febc0f8bba312084370ff894b,2034,2017-09-01T06:37:26.000Z,2017-09-01T06:47:28.000Z,0,0,1.29715,103.7787,1.292667,103.7748,59
83569e057342430bed52f33aecf2d2f772b45bd1,0570699178e882b05d0e1c7d355e911e2b269a19,2129,2017-09-01T06:38:54.000Z,2017-09-01T06:54:06.000Z,0,0,1.2946,103.7733,1.291933,103.78052,315
db597e11f8f9b0a0f7b655383f7545938f9fdee1,26c7eda143aa3b87bb062ea69750428283716af5,2129,2017-09-01T06:38:57.000Z,2017-09-01T06:55:08.000Z,0,0,1.294567,103.77315,1.29195,103.78052,423
90e85fe68a8866307dd3e6a6a57e1a17a9a07996,62320ee99d9080fa479f627eb68a680610afce2c,2034,2017-09-01T06:40:17.000Z,2017-09-01T06:50:19.000Z,0,0,1.298817,103.77425,1.291867,103.78052,100
1dfd5deb9bf7645b2fbcf33ef4e08e28f08a9237,49f87fb44cedf4c4bfde5b65b290b2ee9d308998,2129,2017-09-01T06:40:46.000Z,2017-09-01T06:50:48.000Z,0,0,1.295633,103.77075,1.291683,103.78263,215
47a3687db86eb660919e4707cfbb1a2ffef68508,345c9c90c3cf596f59e30af20901dade0e72b623,2129,2017-09-01T06:41:17.000Z,2017-09-01T06:51:18.000Z,0,0,1.2965,103.77212,1.290983,103.78105,39
078d4e7766e8134e104969e2f45aab8226e904b4,0780dd35d3e735d13de06165e752a8b532bd2570,2034,2017-09-01T06:42:16.000Z,2017-09-01T06:57:18.000Z,0,0,1.295733,103.77084,1.291817,103.7804,342
c42b080eae8a9a1360f2b394e21c2cfb501c170a,513560ee94ba8784d9dfa20c5e6366256e7199b7,2079,2017-09-01T06:42:28.000Z,2017-09-01T06:58:38.000Z,0,0,1.293167,103.77512,1.294267,103.77372,589
